fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-05-02,Lanus,Dep. Riestra,0,0,,,,2.31,2.69,3.61,,
2026-05-02,Barracas Central,Banfield,1,2,,,,2.54,2.8,3.01,,
2026-05-02,Union de Santa Fe,Talleres Cordoba,1,1,,,,2.02,3.11,3.78,,
2026-05-03,Racing Club,Huracan,0,0,,,,1.94,2.97,4.39,,
2026-05-03,River Plate,Atl. Tucuman,0,1,,,,1.52,3.81,6.16,,
2026-05-03,Platense,Estudiantes L.P.,0,2,,,,2.82,2.72,2.76,,
2026-05-03,Aldosivi,Ind. Rivadavia,1,1,,,,2.52,2.92,2.92,,
2026-05-03,Belgrano,Sarmiento Junin,4,0,,,,1.83,3.09,4.74,,
2026-05-03,Gimnasia L.P.,Argentinos Jrs,2,0,,,,3.38,2.98,2.22,,
2026-05-03,Rosario Central,Tigre,1,1,,,,2.97,2.79,2.58,,
2026-05-04,Velez Sarsfield,Newells Old Boys,1,1,,,,1.82,3.31,4.34,,
2026-05-04,Gimnasia Mendoza,Defensa y Justicia,2,1,,,,2.25,2.93,3.38,,
2026-05-05,Estudiantes Rio Cuarto,Instituto,0,2,,,,3.43,2.89,2.25,,
2026-05-09,Boca Juniors,Huracan,1,1,,,,1.75,3.09,5.4,,
2026-05-09,Talleres Cordoba,Belgrano,0,1,,,,2.41,2.76,3.28,,
2026-05-10,Ind. Rivadavia,Union de Santa Fe,1,2,,,,2.12,3.08,3.5,,
2026-05-10,Argentinos Jrs,Lanus,2,0,,,,2.01,2.99,4.02,,
2026-05-10,Rosario Central,Independiente,3,1,,,,2.0,3.04,3.94,,
2026-05-10,Estudiantes L.P.,Racing Club,0,1,,,,2.33,2.87,3.28,,
2026-05-10,River Plate,San Lorenzo,1,1,,,,1.52,3.52,7.18,,
2026-05-11,Velez Sarsfield,Gimnasia L.P.,0,1,,,,1.97,3.04,4.08,,
2026-05-12,Belgrano,Union de Santa Fe,2,0,,,,2.47,2.89,3.01,,
2026-05-13,Rosario Central,Racing Club,1,1,,,,2.22,2.94,3.43,,
2026-05-13,Argentinos Jrs,Huracan,0,0,,,,1.84,2.95,5.01,,
2026-05-14,River Plate,Gimnasia L.P.,2,0,,,,1.53,3.65,6.56,,
2026-05-16,River Plate,Rosario Central,1,0,,,,2.1,2.9,3.81,,
2026-05-17,Argentinos Jrs,Belgrano,1,1,,,,1.94,2.86,4.56,,
2026-05-24,River Plate,Belgrano,2,3,,,,2.15,2.79,3.9,,
2026-07-23,Belgrano,Rosario Central,2,1,,,,2.52,2.82,3.02,,
2026-07-23,Sarmiento Junin,Argentinos Jrs,2,3,,,,4.16,2.88,2.02,,
2026-07-24,Gimnasia Mendoza,Central Cordoba,1,0,,,,1.9,3.08,4.39,,
2026-07-24,Velez Sarsfield,Instituto,1,0,,,,2.08,2.92,3.83,,
2026-07-24,Defensa y Justicia,Aldosivi,1,1,,,,1.87,3.1,4.44,,
2026-07-24,Racing Club,Gimnasia L.P.,2,1,,,,1.78,3.22,4.8,,
2026-07-25,Newells Old Boys,Talleres Cordoba,1,0,,,,2.49,4.02,18.35,,
2026-07-25,Huracan,Banfield,1,0,,,,1.97,2.91,4.35,,
2026-07-25,Platense,Union de Santa Fe,2,2,,,,2.41,2.81,3.21,,
2026-07-25,River Plate,Barracas Central,0,1,,,,1.31,4.34,11.23,,
2026-07-25,Estudiantes Rio Cuarto,Tigre,1,0,,,,3.5,2.73,2.31,,
2026-07-26,Dep. Riestra,Boca Juniors,3,0,,,,4.24,2.77,2.05,,
2026-07-26,Estudiantes L.P.,Independiente,0,2,,,,2.11,2.93,3.75,,
2026-07-26,Lanus,San Lorenzo,1,0,,,,1.98,2.82,4.44,,
2026-07-26,Atl. Tucuman,Ind. Rivadavia,0,0,,,,2.75,3.02,2.58,,
2026-07-28,Banfield,Sarmiento Junin,3,2,,,,2.14,2.92,3.67,,
2026-07-28,San Lorenzo,Gimnasia Mendoza,1,0,,,,1.92,3.06,4.2,,
2026-07-29,Rosario Central,Racing Club,0,0,,,,2.01,3.04,3.88,,
2026-07-29,Argentinos Jrs,Estudiantes Rio Cuarto,3,0,,,,1.35,4.27,9.43,,
2026-07-29,Gimnasia L.P.,River Plate,1,0,,,,4.31,3.02,1.92,,
2026-07-29,Defensa y Justicia,Dep. Riestra,2,1,,,,2.48,2.71,3.18,,
2026-07-29,Barracas Central,Aldosivi,1,0,,,,2.31,2.69,3.58,,
2026-07-30,Talleres Cordoba,Velez Sarsfield,1,3,,,,2.28,2.85,3.4,,
2026-07-30,Ind. Rivadavia,Huracan,2,1,,,,2.01,2.91,4.19,,
2026-07-30,Instituto,Platense,2,1,,,,1.99,2.92,4.21,,
2026-07-31,Central Cordoba,Atl. Tucuman,0,2,,,,3.2,2.98,2.3,,
2026-07-31,Independiente,Newells Old Boys,1,0,,,,1.53,3.71,6.26,,
2026-08-01,Estudiantes Rio Cuarto,Banfield,0,0,,,,2.72,2.84,2.72,,
2026-08-01,Estudiantes L.P.,Defensa y Justicia,3,0,,,,1.56,3.54,6.12,,
2026-08-01,Gimnasia Mendoza,Union de Santa Fe,2,0,,,,2.78,3.04,2.53,,
2026-08-01,Belgrano,Argentinos Jrs,0,1,,,,2.3,2.85,3.32,,
2026-08-02,River Plate,Rosario Central,0,1,,,,1.91,3.02,4.32,,
2026-08-02,Dep. Riestra,Barracas Central,0,1,,,,2.16,2.64,4.1,,
2026-08-02,Aldosivi,Gimnasia L.P.,1,2,,,,3.1,2.69,2.56,,
2026-08-02,Racing Club,Tigre,1,3,,,,2.13,2.89,3.69,,
2026-08-02,Newells Old Boys,Boca Juniors,2,2,,,,4.55,3.17,1.81,,
2026-08-03,Velez Sarsfield,Independiente,1,0,,,,2.43,2.95,2.97,,
2026-08-03,Platense,Talleres Cordoba,0,4,,,,2.57,2.75,3.01,,
2026-08-03,Sarmiento Junin,Ind. Rivadavia,2,1,,,,2.8,2.94,2.57,,
2026-08-03,Lanus,Instituto,0,1,,,,2.15,2.87,3.7,,
2026-08-04,Central Cordoba,San Lorenzo,1,0,,,,3.07,2.88,2.45,,
2026-08-04,Huracan,Atl. Tucuman,0,0,,,,2.0,2.87,4.19,,
2026-08-05,Boca Juniors,Estudiantes L.P.,1,0,,,,1.79,3.19,4.77,,
2026-08-06,Union de Santa Fe,Lanus,2,1,,,,2.54,2.79,3.02,,
2026-08-06,Tigre,Belgrano,0,0,,,,2.41,2.64,3.46,,
2026-08-07,Rosario Central,Aldosivi,2,1,,,,1.53,3.62,6.64,,
2026-08-08,Dep. Riestra,Estudiantes L.P.,2,0,,,,2.48,2.73,3.22,,
2026-08-08,Boca Juniors,Velez Sarsfield,1,1,,,,1.6,3.46,6.03,,
2026-08-08,Tigre,River Plate,1,0,,,,3.35,2.78,2.37,,
2026-08-08,Atl. Tucuman,Sarmiento Junin,1,2,,,,1.82,3.16,4.73,,
2026-08-08,Ind. Rivadavia,Estudiantes Rio Cuarto,2,1,,,,1.44,3.89,7.82,,
2026-08-09,Independiente,Platense,0,1,,,,1.8,3.13,4.95,,
2026-08-09,Gimnasia L.P.,Barracas Central,2,0,,,,1.84,3.07,4.72,,
2026-08-09,Defensa y Justicia,Newells Old Boys,2,1,,,,1.92,3.12,4.27,,
2026-08-09,San Lorenzo,Huracan,0,2,,,,2.7,2.74,2.91,,
